Rank,Country,Pollution Index,Exp Pollution Index
,Afghanistan,92.2,166.06
,Mongolia,91.84,168.56
,Myanmar,89.77,162.09
,Lebanon,89.35,159.74
,Ghana,88.98,159.57
,Nigeria,87.35,156.08
,Monaco,86.76,158.44
,Vietnam,85.92,153.86
,Bangladesh,84.91,151.78
,Egypt,84.35,150.23
,Nepal,84.26,149.91
,Peru,82.69,147.24
,China,81.47,148.51
,North Macedonia,80.03,145.67
,India,79.62,140.77
,Chile,78.96,141.8
,Laos,78.76,140.15
,Albania,78.59,138.19
,Cambodia,78.21,138.04
,Malta,77.76,136.51
,Ethiopia,77.74,136.71
,Iran,76.13,139.26
,Jordan,76.09,133.83
,Kenya,75.88,134.54
,Azerbaijan,75.44,132.3
,Thailand,75.39,132.55
,Venezuela,75.12,133.22
,Dominican Republic,75.08,131.43
,Zimbabwe,74.44,132.06
,Philippines,74.06,130.16
,Iraq,73.57,128.56
,Pakistan,73.36,128.07
,Bolivia,73.25,128.22
,Syria,72.62,126.27
,Kazakhstan,72.62,131.26
,Guatemala,72.49,126.52
,Bahrain,71.57,129.59
,Tunisia,70.85,123.78
,Morocco,70.38,122.72
,Georgia,69.7,125.1
,Trinidad And Tobago,67.44,116.7
,Hong Kong,67.3,119.74
,Indonesia,67.08,115.84
,Kuwait,66.72,117.62
,Jamaica,66.27,115.38
,Turkey,66.15,114.95
,Algeria,65.32,114.14
,Bulgaria,64.48,116.44
,Tanzania,64.38,112.88
,Ukraine,64.31,111.16
,Saudi Arabia,64.13,112.34
,Taiwan,62.92,109.55
,Colombia,62.88,112.28
,Malaysia,62.58,107.06
,Russia,62.32,107.22
,South Korea,61.85,113.14
,Mexico,61.24,104.53
,Serbia,61.2,106.61
,Bosnia And Herzegovina,60.71,107.5
,Armenia,60.23,108.35
,Qatar,60.18,105.59
,Sri Lanka,59.92,102.78
,Panama,59.77,104.48
,Israel,58.42,103.85
,Romania,58.42,99.76
,Ecuador,58.34,99.85
,Libya,57.78,99.92
,South Africa,56.96,97.23
,Cyprus,56.77,96.28
,Mauritius,56.19,96
,Brazil,54.53,93.05
,Poland,54.33,96.05
,Italy,53.93,90.98
,Greece,51.95,90.54
,Argentina,50.73,86.57
,Puerto Rico,50.45,86.49
,United Arab Emirates,50.44,85.68
,Belgium,50.27,84.68
,Hungary,47.81,82.73
,Montenegro,46.91,79.52
,Uruguay,45.67,80.91
,Belarus,44.47,74.02
,Costa Rica,44.07,75.74
,France,41.79,69.72
,United Kingdom,40.25,66.54
,Spain,39.62,64.93
,Japan,39.4,63.75
,Slovakia,39.08,65.71
,United States,38.89,64.28
,Oman,37.59,60.48
,Czech Republic,36.3,60.53
,Latvia,33.91,55.28
,Ireland,33.59,56.08
,Singapore,33.16,56.27
,Croatia,30.58,50.49
,Portugal,29.57,47.53
,Canada,28.13,45.93
,Germany,27.48,44.33
,Lithuania,27.01,43.6
,Netherlands,25.28,41.11
,New Zealand,23.81,40.63
,Australia,23.48,37.32
,Luxembourg,23.27,35.02
,Slovenia,22.65,39.63
,Denmark,20.4,31.58
,Switzerland,20.09,32.19
,Austria,19.2,31.28
,Estonia,19.01,31.21
,Sweden,18.44,28.69
,Norway,18.14,29.19
,Iceland,16.24,27.97
,Finland,11.86,20.22